physical_coordinate,type,path,loc_name,is_day_job,direction
"(-37.795089, 144.997464)",video,1_0.0-3.5.mp4,Timber Fence and Footbridge,1,outbound
"(-37.79505546480804, 145.0007712994052)",video,1_18.3-24.0.mp4,Merri Creek Perspex,1,outbound
"(-37.790808540590426, 145.01673487452152)",video,2_0.0-1.0.mp4,Gantry,0,outbound
"(-37.79088371646998, 145.02019737286668)",video,4_2.0-3.0.mp4,Yarra Blvd Bridge,1,outbound
"(-37.79101574121566, 145.02808137807503)",video,4_14.0-15.0.mp4,Chandler Hwy Bridge Pier,1,outbound
"(-37.79049376699086, 145.04561960346632)",video,4_26.0-27.8.mp4,Timber Sound Fence,1,outbound
"(-37.790725772718574, 145.04831103522284)",video,4_36.3-37.0.mp4,Belfort Road Abutment,1,outbound
"(-37.7797091591358, 145.08611836427315)",video,4_80.2-84.0.mp4,Bulleen Road On-Ramp Walls,1,outbound
"(-37.77931668157151, 145.0928042960661)",video,4_104.0-107.0.mp4,Estelle Street Sound Fence,1,outbound
"(-37.79115940653104, 145.10631627923735)",video,4_185.0-189.0.mp4,Doncaster Road On-Ramp,1,outbound
"(-37.794842088116404, 145.11317051341794)",video,4_216.0-219.0.mp4,Elgar Road Ledge,1,outbound
"(-37.79766653623136, 145.13681807735244)",video,4_303.8-306.0.mp4,Middleborough Road Off-Ramp,1,outbound
"(-37.79884337131002, 145.14562540326148)",video,4_335.0-336.0.mp4,Middleborough Road On-Ramp,1,outbound
"(-37.799999735719624, 145.15069424749095)",video,4_353.0-354.0.mp4,Leed Street Sound Wall,1,outbound
"(-37.803617783061746, 145.1723000736667)",video,4_440.0-449.0.mp4,Kett Street Footbridge + Sound Wall,1,outbound
"(-37.80430684947189, 145.17427133145597)",video,4_485.0-487.5.mp4,Springvale Road On-Ramp,1,inbound
"(-37.80330290371694, 145.167931528454)",video,4_513.0-516.5.mp4,Travel Times Sign + Wall,1,inbound
"(-37.80157235293802, 145.1599225841392)",video,4_543.0-547.0.mp4,Blackburn Road,1,inbound
"(-37.80067426660364, 145.15228220571618)",video,4_575.0-578.0.mp4,VMS Sign + Wall,1,inbound
"(-37.80023769173356, 145.14937022023588)",video,4_584.0-585.0.mp4,Misc Wall,1,inbound
"(-37.79794087615337, 145.13529829332467)",video,4_639.85-639.851.mp4,Eram Road Wall,1,inbound
"(-37.797557620627295, 145.130998596777)",video,4_649.0-651.0.mp4,Tram Road Off-Ramp,1,inbound
"(-37.796375136545485, 145.1186709025542)",video,4_704.5-704.501.mp4,Elgar Road Bridge,1,inbound
"(-37.79481191587888, 145.1111314037463)",video,4_733.0-740.0.mp4,Elgar Road On-Ramp,1,inbound
"(-37.7919669034768, 145.10643279884764)",video,4_757.0-760.0.mp4,Curved Perspex,1,inbound
"(-37.78031085018635, 145.08024866875155)",video,4_828.0-831.0.mp4,Bulleen Road Off-Ramp,1,inbound
"(-37.781976907954764, 145.07513374911784)",video,4_846.0-854.0.mp4,Golf Course Access Bridge,1,inbound
"(-37.7835165040202, 145.07204422860542)",video,4_862.0-863.0.mp4,Orion Street Fence,1,inbound
"(-37.79087270760023, 145.04355118958586)",video,4_882.0-884.0.mp4,Kilby Road Fence,1,inbound
"(-37.79135744786632, 145.02050749649325)",video,4_904.0-906.0.mp4,Yarra Blvd Abutment,1,inbound
"(-37.79598566285253, 144.99818341618067)",video,4_988.0-1000.0.mp4,Hoddle Street Off-Ramp,1,inbound
"(-37.79538155166497, 144.99255673373767)",video,4_1006.0-1029.0.mp4,Alexandra Parade,1,inbound
